station_id,name,capacity
72,W 52 St & 11 Ave,0
79,Franklin St & W Broadway,33
82,St James Pl & Pearl St,27
83,Atlantic Ave & Fort Greene Pl,62
116,W 17 St & 8 Ave,50
119,Park Ave & St Edwards St,53
120,Lexington Ave & Classon Ave,19
127,Barrow St & Hudson St,31
128,MacDougal St & Prince St,30
143,Clinton St & Joralemon St,24
144,Nassau St & Navy St,58
146,Hudson St & Reade St,39
150,E 2 St & Avenue C,55
151,Cleveland Pl & Spring St,33
157,Henry St & Atlantic Ave,23
161,LaGuardia Pl & W 3 St,35
164,E 47 St & 2 Ave,47
168,W 18 St & 6 Ave,0
173,Broadway & W 49 St,70
174,E 25 St & 1 Ave,35
212,W 16 St & The High Line,60
216,Columbia Heights & Cranberry St,23
217,Old Fulton St,39
223,W 13 St & 7 Ave,33
224,Spruce St & Nassau St,30
228,E 48 St & 3 Ave,55
229,Great Jones St,23
236,St Marks Pl & 2 Ave,47
237,E 11 St & 2 Ave,39
238,Bank St & Washington St,31
239,Willoughby St & Fleet St,31
241,DeKalb Ave & S Portland Ave,23
242,Carlton Ave & Flushing Ave,46
244,Willoughby Ave & Hall St,31
245,Myrtle Ave & St Edwards St,23
247,Perry St & Bleecker St,55
248,Laight St & Hudson St,99
249,Harrison St & Hudson St,27
250,Lafayette St & Jersey St,40
251,Mott St & Prince St,27
252,MacDougal St & Washington Sq,33
254,W 11 St & 6 Ave,47
257,Lispenard St & Broadway,39
258,DeKalb Ave & Vanderbilt Ave,23
259,South St & Whitehall St,39
260,Broad St & Bridge St,33
261,Johnson St & Gold St,27
262,Washington Park,24
264,Maiden Ln & Pearl St,27
265,Stanton St & Chrystie St,35
267,Broadway & W 36 St,70
268,Howard St & Centre St,27
270,Adelphi St & Myrtle Ave,23
274,Lafayette Ave & Fort Greene Pl,31
275,Washington Ave & Greene Ave,19
276,Duane St & Greenwich St,25
278,Concord St & Bridge St,19
280,E 10 St & 5 Ave,59
281,Grand Army Plaza & Central Park S,0
282,Kent Ave & S 11 St,27
284,Greenwich Ave & 8 Ave,43
285,Broadway & E 14 St,53
289,Monroe St & Classon Ave,19
291,Madison St & Montgomery St,20
293,Lafayette St & E 8 St,55
295,Pike St & E Broadway,24
297,E 15 St & 3 Ave,77
298,3 Ave & Schermerhorn St,35
301,E 2 St & Avenue B,58
302,Avenue D & E 3 St,23
303,Mercer St & Spring St,67
304,Broadway & Battery Pl,33
305,E 58 St & 3 Ave,33
307,Canal St & Rutgers St,30
308,St James Pl & Oliver St,27
309,Murray St & West St,41
310,State St & Smith St,66
311,Norfolk St & Broome St,31
312,Allen St & Stanton St,31
313,Washington Ave & Park Ave,55
315,South St & Gouverneur Ln,29
316,Fulton St & William St,43
317,E 6 St & Avenue B,54
319,Fulton St & Broadway,33
320,Leonard St & Church St,39
321,Cadman Plaza E & Red Cross Pl,39
323,Lawrence St & Willoughby St,39
324,DeKalb Ave & Hudson Ave,51
325,E 19 St & 3 Ave,35
326,E 11 St & 1 Ave,41
327,Vesey Pl & River Terrace,39
328,Watts St & Greenwich St,23
330,Reade St & Broadway,39
331,Pike St & Monroe St,27
332,Cherry St,36
334,W 20 St & 7 Ave,31
335,Washington Pl & Broadway,27
336,Sullivan St & Washington Sq,36
340,Madison St & Clinton St,27
341,Stanton St & Mangin St,19
342,Columbia St & Rivington St,29
343,Clinton Ave & Flushing Ave,23
344,Monroe St & Bedford Ave,23
346,Bank St & Hudson St,27
347,Greenwich St & W Houston St,35
349,Rivington St & Ridge St,61
350,Clinton St & Grand St,28
351,Front St & Maiden Ln,39
353,S Portland Ave & Hanson Pl,27
354,Emerson Pl & Myrtle Ave,47
355,Bayard St & Baxter St,43
356,Bialystoker Pl & Delancey St,23
358,Christopher St & Greenwich St,50
359,E 47 St & Park Ave,78
360,William St & Pine St,39
361,Allen St & Hester St,43
362,Broadway & W 37 St,57
363,West Thames St,49
364,Lafayette Ave & Classon Ave,27
366,Clinton Ave & Myrtle Ave,33
367,E 53 St & Lexington Ave,43
368,Carmine St & 6 Ave,39
369,Washington Pl & 6 Ave,60
372,Franklin Ave & Myrtle Ave,27
373,Willoughby Ave & Walworth St,19
376,John St & William St,43
377,6 Ave & Canal St,48
379,W 31 St & 7 Ave,42
380,W 4 St & 7 Ave S,5
383,Greenwich Ave & Charles St,39
385,E 55 St & 2 Ave,29
386,Centre St & Worth St,82
387,Centre St & Chambers St,39
388,W 26 St & 10 Ave,35
389,Broadway & Berry St,27
390,Duffield St & Willoughby St,31
391,Clark St & Henry St,31
392,Jay St & Tech Pl,35
393,E 5 St & Avenue C,37
394,E 9 St & Avenue C,34
396,Lefferts Pl & Franklin Ave,25
397,Fulton St & Clermont Ave,75
398,Atlantic Ave & Furman St,31
399,Lafayette Ave & St James Pl,39
400,Pitt St & Stanton St,15
401,Allen St & Rivington St,42
402,Broadway & E 22 St,39
403,E 2 St & 2 Ave,31
405,Washington St & Gansevoort St,51
406,Hicks St & Montague St,20
408,Market St & Cherry St,23
410,Suffolk St & Stanton St,45
411,E 6 St & Avenue D,31
412,Forsyth St & Canal St,29
415,Pearl St & Hanover Square,46
416,Cumberland St & Lafayette Ave,31
417,Barclay St & Church St,25
418,Front St & Gold St,23
419,Carlton Ave & Park Ave,23
420,Clermont Ave & Lafayette Ave,51
421,Clermont Ave & Park Ave,19
422,W 59 St & 10 Ave,78
423,W 54 St & 9 Ave,27
426,West St & Chambers St,30
427,Bus Slip & State St,47
432,E 7 St & Avenue A,31
434,9 Ave & W 18 St,60
435,W 21 St & 6 Ave,50
436,Hancock St & Bedford Ave,27
437,Macon St & Nostrand Ave,24
438,St Marks Pl & 1 Ave,47
439,E 4 St & 2 Ave,39
440,E 45 St & 3 Ave,32
442,W 27 St & 7 Ave,51
443,Bedford Ave & S 9 St,23
445,E 10 St & Avenue A,80
446,W 24 St & 7 Ave,79
447,8 Ave & W 52 St,31
448,W 37 St & 10 Ave,27
450,W 49 St & 8 Ave,67
453,W 22 St & 8 Ave,66
454,E 51 St & 1 Ave,35
455,1 Ave & E 44 St,59
456,E 53 St & Madison Ave,34
458,11 Ave & W 27 St,31
460,S 4 St & Wythe Ave,25
461,E 20 St & 2 Ave,19
462,W 22 St & 10 Ave,77
464,E 56 St & 3 Ave,53
465,Broadway & W 41 St,39
466,W 25 St & 6 Ave,35
467,Dean St & 4 Ave,34
468,Broadway & W 56 St,65
469,Broadway & W 53 St,57
470,W 20 St & 8 Ave,72
471,Grand St & Havemeyer St,31
472,E 32 St & Park Ave,55
473,Rivington St & Chrystie St,50
474,5 Ave & E 29 St,56
476,E 31 St & 3 Ave,65
477,W 41 St & 8 Ave,71
478,11 Ave & W 41 St,37
479,9 Ave & W 45 St,31
480,W 53 St & 10 Ave,29
481,S 3 St & Bedford Ave,25
482,W 15 St & 7 Ave,79
483,E 12 St & 3 Ave,34
484,W 44 St & 5 Ave,46
485,W 37 St & 5 Ave,40
486,Broadway & W 29 St,41
487,E 20 St & FDR Drive,35
489,10 Ave & W 28 St,49
490,8 Ave & W 33 St,66
492,W 33 St & 7 Ave,67
493,W 45 St & 6 Ave,34
494,W 26 St & 8 Ave,66
495,W 47 St & 10 Ave,39
496,E 16 St & 5 Ave,65
497,E 17 St & Broadway,66
499,Broadway & W 60 St,36
500,Broadway & W 51 St,52
501,FDR Drive & E 35 St,79
502,Henry St & Grand St,36
503,E 20 St & Park Ave,31
504,1 Ave & E 16 St,54
505,6 Ave & W 33 St,52
507,E 25 St & 2 Ave,0
508,W 46 St & 11 Ave,25
509,9 Ave & W 22 St,61
513,W 56 St & 10 Ave,29
514,12 Ave & W 40 St,52
515,W 43 St & 10 Ave,79
516,E 47 St & 1 Ave,31
517,Pershing Square South,69
519,Pershing Square North,69
522,E 51 St & Lexington Ave,51
525,W 34 St & 11 Ave,56
526,E 33 St & 5 Ave,40
528,2 Ave & E 31 St,39
529,W 42 St & 8 Ave,41
530,11 Ave & W 59 St,24
531,Forsyth St & Broome St,39
532,S 5 Pl & S 5 St,43
533,Broadway & W 38 St,46
534,Water - Whitehall Plaza,31
536,1 Ave & E 30 St,28
539,Metropolitan Ave & Bedford Ave,31
540,Lexington Ave & E 29 St,46
545,E 23 St & 1 Ave,27
546,E 30 St & Park Ave S,45
2000,Front St & Washington St,57
2002,Wythe Ave & Metropolitan Ave,27
2003,1 Ave & E 18 St,54
2005,Railroad Ave & Kay Ave,12
2006,Central Park S & 6 Ave,49
2008,Little West St & 1 Pl,24
2009,Catherine St & Monroe St,35
2010,Grand St & Greene St,65
2012,E 27 St & 1 Ave,35
2017,E 43 St & 2 Ave,39
2021,W 45 St & 8 Ave,65
2022,E 60 St & York Ave,33
3016,Kent Ave & N 7 St,54
3041,Kingston Ave & Herkimer St,24
3042,Fulton St & Utica Ave,19
3043,Lewis Ave & Decatur St,19
3044,Albany Ave & Fulton St,27
3046,Marcus Garvey Blvd & Macon St,19
3047,Halsey St & Tompkins Ave,21
3048,Putnam Ave & Nostrand Ave,19
3049,Cambridge Pl & Gates Ave,18
3050,Putnam Ave & Throop Ave,21
3052,Lewis Ave & Madison St,23
3053,Marcy Ave & Lafayette Ave,23
3054,Greene Ave & Throop Ave,19
3055,Greene Ave & Nostrand Ave,23
3056,Kosciuszko St & Nostrand Ave,23
3057,Kosciuszko St & Tompkins Ave,18
3058,Lewis Ave & Kosciuszko St,24
3059,Pulaski St & Marcus Garvey Blvd,19
3060,Willoughby Ave & Tompkins Ave,19
3061,Throop Ave & Myrtle Ave,21
3062,Myrtle Ave & Marcy Ave,23
3063,Nostrand Ave & Myrtle Ave,20
3064,Myrtle Ave & Lewis Ave,23
3065,Union Ave & Wallabout St,31
3066,Tompkins Ave & Hopkins St,19
3067,Broadway & Whipple St,27
3068,Humboldt St & Varet St,42
3069,Lorimer St & Broadway,29
3070,McKibbin St & Manhattan Ave,23
3071,Boerum St & Broadway,19
3072,Leonard St & Boerum St,24
3074,Montrose Ave & Bushwick Ave,42
3075,Division Ave & Marcy Ave,33
3076,Scholes St & Manhattan Ave,36
3077,Stagg St & Union Ave,32
3078,Broadway & Roebling St,27
3080,S 4 St & Rodney St,21
3081,Graham Ave & Grand St,29
3082,Hope St & Union Ave,25
3083,Bushwick Ave & Powers St,32
3085,Roebling St & N 4 St,25
3086,Graham Ave & Conselyea St,0
3087,Metropolitan Ave & Meeker Ave,30
3088,Union Ave & Jackson St,19
3092,Berry St & N 8 St,27
3093,N 6 St & Bedford Ave,28
3094,Graham Ave & Withers St,18
3095,Graham Ave & Herbert St,26
3096,Union Ave & N 12 St,39
3100,Nassau Ave & Newell St,51
3101,N 12 St & Bedford Ave,0
3102,Driggs Ave & Lorimer St,27
3105,N 15 St & Wythe Ave,24
3106,Driggs Ave & N Henry St,22
3107,Bedford Ave & Nassau Ave,39
3108,Nassau Ave & Russell St,51
3109,Banker St & Meserole Ave,31
3110,Meserole Ave & Manhattan Ave,28
3112,Milton St & Franklin St,33
3113,Greenpoint Ave & Manhattan Ave,27
3115,India St & Manhattan Ave,50
3116,Huron St & Franklin St,35
3117,Franklin St & Dupont St,27
3118,McGuinness Blvd & Eagle St,42
3119,Vernon Blvd & 50 Ave,45
3121,Jackson Ave & 46 Rd,27
3122,48 Ave & 5 St,79
3123,31 St & Thomson Ave,47
3124,46 Ave & 5 St,43
3125,45 Rd & 11 St,23
3126,44 Dr & Jackson Ave,34
3127,9 St & 44 Rd,18
3128,21 St & 43 Ave,27
3129,Queens Plaza North & Crescent St,31
3130,21 St & Queens Plaza North,30
3131,E 68 St & 3 Ave,31
3132,E 59 St & Madison Ave,35
3134,3 Ave & E 62 St,51
3135,E 75 St & 3 Ave,41
3136,5 Ave & E 63 St,47
3137,5 Ave & E 73 St,31
3139,E 72 St & Park Ave,43
3140,1 Ave & E 78 St,55
3141,1 Ave & E 68 St,58
3142,1 Ave & E 62 St,41
3143,5 Ave & E 78 St,47
3144,E 81 St & Park Ave,46
3145,E 84 St & Park Ave,45
3146,E 81 St & 3 Ave,47
3147,E 85 St & 3 Ave,39
3148,E 84 St & 1 Ave,31
3150,E 85 St & York Ave,47
3151,E 81 St & York Ave,43
3152,3 Ave & E 71 St,42
3154,E 77 St & 3 Ave,31
3156,E 72 St & York Ave,37
3157,East End Ave & E 86 St,27
3158,W 63 St & Broadway,31
3159,W 67 St & Broadway,31
3160,Central Park West & W 76 St,39
3161,W 76 St & Columbus Ave,59
3163,Central Park West & W 68 St,43
3164,Columbus Ave & W 72 St,66
3165,Central Park West & W 72 St,51
3166,Riverside Dr & W 72 St,41
3167,Amsterdam Ave & W 73 St,55
3169,Riverside Dr & W 82 St,39
3170,W 84 St & Columbus Ave,35
3171,Amsterdam Ave & W 82 St,39
3172,W 74 St & Columbus Ave,27
3173,Riverside Blvd & W 67 St,39
3175,W 70 St & Amsterdam Ave,31
3177,W 84 St & Broadway,63
3178,Riverside Dr & W 78 St,39
3179,Park Ave & Marcus Garvey Blvd,23
3182,Yankee Ferry Terminal,42
3184,Paulus Hook,14
3185,City Hall,22
3186,Grove St PATH,42
3187,Warren St,22
3191,Union St,18
3192,Liberty Light Rail,22
3193,Lincoln Park,18
3194,McGinley Square,22
3195,Sip Ave,34
3196,Riverview Park,18
3198,Heights Elevator,18
3199,Newport Pkwy,14
3201,Dey St,18
3202,Newport PATH,18
3203,Hamilton Park,26
3205,JC Medical Center,22
3206,Hilltop,26
3207,Oakland Ave,26
3209,Brunswick St,22
3210,Pershing Field,18
3211,Newark Ave,22
3212,Christ Hospital,22
3213,Van Vorst Park,22
3214,Essex Light Rail,22
3220,5 Corners Library,18
3221,47 Ave & 31 St,27
3225,Baldwin at Montgomery,14
3226,W 82 St & Central Park West,45
3231,E 67 St & Park Ave,39
3232,Bond St & Fulton St,47
3233,E 48 St & 5 Ave,39
3235,E 41 St & Madison Ave,34
3236,W 42 St & Dyer Ave,33
3241,Monroe St & Tompkins Ave,19
3242,Schermerhorn St & Court St,39
3243,E 58 St & 1 Ave (NE Corner),29
3244,University Pl & E 8 St,42
3246,Montague St & Clinton St,39
3249,Verona Pl & Fulton St,19
3254,Soissons Landing,29
3255,8 Ave & W 31 St,18
3256,Pier 40 - Hudson River Park,23
3259,9 Ave & W 28 St,27
3260,Mercer St & Bleecker St,45
3263,Cooper Square & Astor Pl,59
3267,Morris Canal,14
3268,Lafayette Park,14
3269,Brunswick & 6th,14
3270,Jersey & 6th St,14
3272,Jersey & 3rd,14
3273,Manila & 1st,18
3275,Columbus Drive,14
3276,Marin Light Rail,26
3277,Communipaw & Berry Lane,14
3278,Monmouth and 6th,14
3279,Dixon Mills,18
3280,Astor Place,14
3281,Leonard Gordon Park,14
3282,5 Ave & E 88 St,38
3283,W 89 St & Columbus Ave,47
3284,E 88 St & Park Ave,38
3285,W 87 St & Amsterdam Ave,43
3286,E 89 St & 3 Ave,39
3287,W 87 St & West End Ave,47
3288,E 88 St & 1 Ave,39
3289,W 90 St & Amsterdam Ave,32
3290,E 89 St & York Ave,35
3292,5 Ave & E 93 St,43
3293,W 92 St & Broadway,24
3294,E 91 St & Park Ave,38
3296,E 93 St & 2 Ave,42
3297,6 St & 7 Ave,21
3298,Warren St & Court St,23
3299,E 98 St & Park Ave,25
3300,Prospect Park West & 8 St,25
3301,Columbus Ave & W 95 St,39
3302,Columbus Ave & W 103 St,22
3303,Butler St & Court St,25
3304,6 Ave & 9 St,27
3305,E 91 St & 2 Ave,39
3306,10 St & 7 Ave,23
3307,West End Ave & W 94 St,31
3308,Kane St & Clinton St,27
3309,E 97 St & 3 Ave,30
3310,14 St & 7 Ave,24
3311,Columbia St & Kane St,21
3312,1 Ave & E 94 St,38
3313,6 Ave & 12 St,29
3314,W 95 St & Broadway,32
3315,Henry St & Degraw St,23
3317,10 St & 5 Ave,24
3318,2 Ave & E 96 St,39
3319,14 St & 5 Ave,21
3321,Clinton St & Union St,25
3322,12 St & 4 Ave,0
3323,W 106 St & Central Park West,59
3324,3 Ave & 14 St,25
3325,E 95 St & 3 Ave,31
3326,Clinton St & Centre St,21
3327,3 Ave & E 100 St,27
3328,W 100 St & Manhattan Ave,39
3329,Degraw St & Smith St,27
3330,Henry St & Bay St,19
3331,Riverside Dr & W 104 St,39
3332,Degraw St & Hoyt St,19
3333,Columbia St & Lorraine St,21
3335,Union St & 4 Ave,28
3336,E 97 St & Madison Ave,41
3337,Dwight St & Van Dyke St,23
3338,2 Ave & E 99 St,31
3339,Berkeley Pl & 6 Ave,23
3340,Wolcott St & Dwight St,21
3342,Pioneer St & Richards St,23
3343,W 107 St & Columbus Ave,23
3344,Pioneer St & Van Brunt St,19
3345,Madison Ave & E 99 St,35
3346,Berkeley Pl & 7 Ave,0
3347,Van Brunt St & Wolcott St,21
3348,Coffey St & Conover St,19
3349,Grand Army Plaza & Plaza St West,30
3350,W 100 St & Broadway,39
3351,E 102 St & 1 Ave,25
3352,Sigourney St & Columbia St,21
3354,3 St & Prospect Park West,31
3355,E 66 St & Madison Ave,25
3356,Amsterdam Ave & W 66 St,21
3357,W 106 St & Amsterdam Ave,35
3358,Garfield Pl & 8 Ave,25
3359,E 68 St & Madison Ave,41
3361,Carroll St & 6 Ave,23
3362,Madison Ave & E 82 St,34
3363,E 102 St & Park Ave,33
3364,Carroll St & 5 Ave,27
3365,3 St & 7 Ave,27
3366,West End Ave & W 107 St,22
3367,5 Ave & E 103 St,39
3368,5 Ave & 3 St,30
3369,E 82 St & East End Ave,29
3370,E 78 St & 2 Ave,25
3372,E 74 St & 1 Ave,39
3373,3 St & 3 Ave,27
3374,Central Park North & Adam Clayton Powell Blvd,36
3375,3 Ave & E 72 St,35
3376,E 65 St & 2 Ave,39
3377,Carroll St & Bond St,25
3378,E 76 St & Park Ave,28
3379,E 103 St & Lexington Ave,35
3381,3 St & Hoyt St,21
3382,Carroll St & Smith St,3
3383,Cathedral Pkwy & Broadway,25
3384,Smith St & 3 St,25
3386,1 Pl & Clinton St,27
3387,E 106 St & Madison Ave,25
3388,President St & Henry St,25
3389,Carroll St & Columbia St,3
3390,E 109 St & 3 Ave,24
3391,E 106 St & 1 Ave,25
3392,Commerce St & Van Brunt St,19
3393,Richards St & Delavan St,19
3394,Columbia St & W 9 St,21
3395,Henry St & W 9 St,19
3396,Clinton St & 4 Place,25
3397,Court St & Nelson St,25
3398,Smith St & 9 St,23
3399,7 St & 3 Ave,24
3400,E 110 St & Madison Ave,24
3402,Court St & State St,23
3403,4 Ave & 9 St,31
3404,7 St & 5 Ave,27
3405,5 St & 6 Ave,23
3407,Union St & Nevins St,23
3408,Congress St & Clinton St,27
3409,Bergen St & Smith St,35
3410,Dean St & Hoyt St,31
3411,Bond St & Bergen St,27
3412,Pacific St & Nevins St,18
3414,Bergen St & Flatbush Ave,33
3415,Prospect Pl & 6 Ave,25
3416,7 Ave & Park Pl,25
3417,Baltic St & 5 Ave,27
3418,Plaza St West & Flatbush Ave,33
3419,Douglass St & 4 Ave,27
3420,Douglass St & 3 Ave,21
3421,Hoyt St & Warren St,23
3422,Columbia St & Degraw St,21
3423,West Drive & Prospect Park West,29
3424,E 106 St & Lexington Ave,27
3425,2 Ave & E 104 St,33
3429,Hanson Pl & Ashland Pl,39
3430,Richardson St & N Henry St,25
3435,Grand St & Elizabeth St,45
3436,Greenwich St & Hubert St,35
3437,Riverside Dr & W 91 St,39
3440,Fulton St & Adams St,43
3443,W 52 St & 6 Ave,40
3452,Bayard St & Leonard St,43
3453,Devoe St & Lorimer St,19
3454,Leonard St & Maujer St,24
3456,Jackson St & Leonard St,22
3457,E 58 St & Madison Ave,46
3461,Murray St & Greenwich St,33
3462,E 44 St & 2 Ave,39
3463,E 16 St & Irving Pl,37
3467,W Broadway & Spring St,44
3469,India St & West St,23
3472,W 15 St & 10 Ave,39
3477,39 St & 2 Ave,33
3478,2 Ave & 36 St,43
3479,Picnic Point,45
3481,York St,22
3483,Montgomery St,14
3486,Schermerhorn St & Bond St,30
3490,E 116 St & 2 Ave,31
3491,E 118 St & 1 Ave,24
3492,E 118 St & Park Ave,27
3493,E 118 St & 3 Ave,31
3494,E 115 St & Lexington Ave,25
3495,E 114 St & 1 Ave,26
3496,1 Ave & E 110 St,25
3497,Pleasant Ave & E 116 St,23
3498,Pleasant Ave & E 120 St,21
3499,2 Ave & E 122 St,25
3500,E 115 St & Madison Ave,31
3501,E 118 St & Madison Ave,29
3502,Lexington Ave & E 111 St,29
3503,Madison Ave & E 120 St,30
3504,E 123 St & Lexington Ave,27
3505,Lexington Ave & E 127 St,33
3506,Lexington Ave & E 120 St,29
3507,Park Ave & E 124 St,36
3508,St Nicholas Ave & Manhattan Ave,31
3509,Lenox Ave & W 115 St,31
3510,Adam Clayton Powell Blvd & W 123 St,31
